wavelength(nm), xbar, ybar, zbar
3.900000000000000000e+02,3.769643335763909770e-03,4.146153767869399870e-04,1.847260486885127229e-02
3.950000000000000000e+02,9.382912535363959958e-03,1.059637109654579896e-03,4.609757339320119662e-02
4.000000000000000000e+02,2.214307715784305866e-02,2.452191065003289910e-03,1.096094855065685991e-01
4.050000000000000000e+02,4.742955203727862445e-02,4.971714661158600432e-03,2.369233829595289997e-01
4.100000000000000000e+02,8.953781288581195985e-02,9.079856674033189370e-03,4.508355540760680125e-01
4.150000000000000000e+02,1.446218691971827841e-01,1.429388457553240101e-02,7.378840239345489938e-01
4.200000000000000000e+02,2.035708154239009027e-01,2.027376072180499950e-02,1.051811864613276137e+00
4.250000000000000000e+02,2.488555012859538784e-01,2.612110084086829986e-02,1.305022843746544980e+00
4.300000000000000000e+02,2.918213496689988640e-01,3.319039263322910022e-02,1.552809074318123095e+00
4.350000000000000000e+02,3.227052985051584444e-01,4.157938058737500192e-02,1.748268161302065860e+00
4.400000000000000000e+02,3.482524575464253647e-01,5.033641367070330191e-02,1.917467804504735085e+00
4.450000000000000000e+02,3.418490645971824504e-01,5.743341157700640465e-02,1.918439294411937945e+00
4.500000000000000000e+02,3.224630081828351869e-01,6.472374114673010159e-02,1.848536716207554997e+00
4.550000000000000000e+02,2.826645031962458088e-01,7.238289813669679384e-02,1.664439862505944001e+00
4.600000000000000000e+02,2.485214552084404893e-01,8.514810756437700412e-02,1.522152289146488036e+00
4.650000000000000000e+02,2.219769288271173646e-01,1.060149816768861941e-01,1.428427021570572997e+00
4.700000000000000000e+02,1.806888755012590331e-01,1.298966232276848043e-01,1.250599092982161986e+00
4.750000000000000000e+02,1.291894195205640083e-01,1.535063795803419950e-01,9.991900428482519692e-01
4.800000000000000000e+02,8.183104836173793473e-02,1.788054216325809798e-01,7.552454637619390176e-01
4.850000000000000000e+02,4.600910750862101384e-02,2.064846312433649966e-01,5.617305175044600141e-01
4.900000000000000000e+02,2.084673179956796768e-02,2.379161422459510067e-01,4.099284958883220309e-01
4.950000000000000000e+02,7.102398034008965133e-03,2.850685055732219975e-01,3.105904119973200150e-01
5.000000000000000000e+02,2.472677086680950993e-03,3.483534268273020262e-01,2.376773953411999984e-01
5.050000000000000000e+02,3.651443913612743928e-03,4.277586219671469792e-01,1.719998404807021875e-01
5.100000000000000000e+02,1.556897176691702731e-02,5.204941177348130221e-01,1.176787530393149928e-01
5.150000000000000000e+02,4.314509492431482796e-02,6.206204962983719042e-01,8.283579638066919382e-02
5.200000000000000000e+02,7.964808853753284346e-02,7.180885695862520013e-01,5.650385364137310018e-02
5.250000000000000000e+02,1.268652528247811995e-01,7.946462945649530596e-01,3.751872351259569888e-02
5.300000000000000000e+02,1.818188042176538954e-01,8.575845808734289255e-01,2.438135895091020008e-02
5.350000000000000000e+02,2.405098097405177493e-01,9.071370936887649394e-01,1.566167108913500000e-02
5.400000000000000000e+02,3.097987911686390650e-01,9.544676653543450184e-01,9.846412994520530731e-03
5.450000000000000000e+02,3.804336079314649677e-01,9.814157400127320185e-01,6.131378317714730221e-03
5.500000000000000000e+02,4.494257441605665204e-01,9.890236263898980473e-01,3.790252103897050282e-03
5.550000000000000000e+02,5.280444127233370200e-01,9.994630512641589082e-01,2.327170116027089779e-03
5.600000000000000000e+02,6.134097684539341344e-01,9.967770282990749964e-01,1.432114658722809979e-03
5.650000000000000000e+02,7.016725087615829359e-01,9.902597293138939438e-01,8.822641412785499565e-04
5.700000000000000000e+02,7.967948978440646535e-01,9.732641797956940177e-01,5.452397617205699629e-04
5.750000000000000000e+02,8.853554888177669335e-01,9.424596048175719609e-01,3.386709398269100433e-04
5.800000000000000000e+02,9.638452520420753844e-01,8.963699167021779157e-01,2.117774473272199861e-04
5.850000000000000000e+02,1.051021634148040507e+00,8.587253906397178671e-01,1.335021778751979932e-04
5.900000000000000000e+02,1.109752330526212472e+00,8.115785033965499107e-01,8.494509619591800577e-05
5.950000000000000000e+02,1.143626876638884626e+00,7.544799193037560192e-01,5.460698138420400300e-05
6.000000000000000000e+02,1.151048647012091086e+00,6.918587619935879784e-01,3.549662754143700103e-05
6.050000000000000000e+02,1.134754890287674289e+00,6.270079095034959415e-01,2.334748936912399837e-05
6.100000000000000000e+02,1.083935113650223991e+00,5.583762227740609596e-01,1.554635382470700075e-05
6.150000000000000000e+02,1.007334152570275476e+00,4.895916912352119565e-01,1.048379047657769942e-05
6.200000000000000000e+02,9.142998082556390571e-01,4.229932935805229555e-01,0.000000000000000000e+00
6.250000000000000000e+02,8.135607852885071711e-01,3.609262324838907188e-01,0.000000000000000000e+00
6.300000000000000000e+02,6.924688083124148630e-01,2.980859731083456143e-01,0.000000000000000000e+00
6.350000000000000000e+02,5.755363635041570447e-01,2.416883734082169999e-01,0.000000000000000000e+00
6.400000000000000000e+02,4.731233693505078053e-01,1.943127314205575773e-01,0.000000000000000000e+00
6.450000000000000000e+02,3.845010941821423445e-01,1.547405351547020969e-01,0.000000000000000000e+00
6.500000000000000000e+02,2.997340714424374664e-01,1.193107629593208041e-01,0.000000000000000000e+00
6.550000000000000000e+02,2.277805206753142908e-01,8.979644694191708798e-02,0.000000000000000000e+00
6.600000000000000000e+02,1.707904534204443547e-01,6.671004268127453396e-02,0.000000000000000000e+00
6.650000000000000000e+02,1.263797323456317401e-01,4.899657319999090738e-02,0.000000000000000000e+00
6.700000000000000000e+02,9.224700912426658794e-02,3.560020388443922712e-02,0.000000000000000000e+00
6.750000000000000000e+02,6.639877910161329222e-02,2.554195165599255912e-02,0.000000000000000000e+00
6.800000000000000000e+02,4.710659459627768164e-02,1.807958465641056056e-02,0.000000000000000000e+00
6.850000000000000000e+02,3.292163021481039897e-02,1.261581155968029971e-02,0.000000000000000000e+00
6.900000000000000000e+02,2.262280800832208380e-02,8.661190588798760651e-03,0.000000000000000000e+00
6.950000000000000000e+02,1.575414045389500126e-02,6.027669472929929849e-03,0.000000000000000000e+00
7.000000000000000000e+02,1.096785378286171952e-02,4.195967826462569487e-03,0.000000000000000000e+00
7.050000000000000000e+02,7.608738644234120350e-03,2.910862452867159743e-03,0.000000000000000000e+00
7.100000000000000000e+02,5.214606361727620182e-03,1.995555717582689868e-03,0.000000000000000000e+00
7.150000000000000000e+02,3.569435448574229987e-03,1.367017221781409962e-03,0.000000000000000000e+00
7.200000000000000000e+02,2.464838358136575095e-03,9.447337958860249543e-04,0.000000000000000000e+00
7.250000000000000000e+02,1.703888911992712226e-03,6.537091993281540650e-04,0.000000000000000000e+00
7.300000000000000000e+02,1.186226789882695136e-03,4.555927904507449497e-04,0.000000000000000000e+00
7.350000000000000000e+02,8.269553587732980573e-04,3.179744437788259719e-04,0.000000000000000000e+00
7.400000000000000000e+02,5.758341543354559850e-04,2.217457297992819862e-04,0.000000000000000000e+00
7.450000000000000000e+02,4.058339840863020055e-04,1.565577653085040003e-04,0.000000000000000000e+00
7.500000000000000000e+02,2.856591635857769879e-04,1.103933430579889834e-04,0.000000000000000000e+00
7.550000000000000000e+02,2.021840575338351730e-04,7.827401570725639436e-05,0.000000000000000000e+00
7.600000000000000000e+02,1.438286006221852940e-04,5.578915449882209223e-05,0.000000000000000000e+00
7.650000000000000000e+02,1.024683081001470072e-04,3.981878829813599997e-05,0.000000000000000000e+00
7.700000000000000000e+02,7.347499732693479088e-05,2.860157831695159789e-05,0.000000000000000000e+00
7.750000000000000000e+02,5.259833073046670193e-05,2.051246840780089842e-05,0.000000000000000000e+00
7.800000000000000000e+02,3.806068261888510785e-05,1.487226711525170021e-05,0.000000000000000000e+00
